[08:00] Machine= M01, Status=RUNNING, Temp= 35, Pressure= 60-> Temperature Alarm
[2026-05-19 22:59:27] Machine= M01, Status=STOPPED, Temp= 33, Pressure= 77-> Machine Stopped
[2026-05-19 22:59:27] Machine= M06, Status=RUNNING, Temp= 33, Pressure= 77-> Temperature Alarm
[2026-05-19 22:59:27] Machine= M01, Status=RUNNING, Temp= 49, Pressure= 70-> CRITICAL Temperature Alarm
[2026-05-19 23:03:04] Machine= M02, Status=STOPPED, Temp= 47, Pressure= 89-> Machine Stopped
[2026-05-19 23:03:04] Machine= M05, Status=RUNNING, Temp= 31, Pressure= 72-> Temperature Alarm
[2026-05-19 23:03:04] Machine= M03, Status=RUNNING, Temp= 36, Pressure= 48-> Temperature Alarm
[2026-05-19 23:03:04] Machine= M04, Status=STOPPED, Temp= 33, Pressure= 63-> Machine Stopped
[2026-05-19 23:03:04] Machine= M03, Status=STOPPED, Temp= 26, Pressure= 65-> Machine Stopped
[2026-05-19 23:03:04] Machine= M06, Status=RUNNING, Temp= 21, Pressure= 51-> Ok
[2026-05-19 23:03:04] Machine= M05, Status=STOPPED, Temp= 43, Pressure= 45-> Machine Stopped
[2026-05-19 23:03:04] Machine= M05, Status=RUNNING, Temp= 28, Pressure= 87-> Ok
[2026-05-19 23:03:04] Machine= M05, Status=RUNNING, Temp= 48, Pressure= 81-> CRITICAL Temperature Alarm
[2026-05-19 23:03:04] Machine= M02, Status=STOPPED, Temp= 27, Pressure= 69-> Machine Stopped
[2026-05-19 23:03:04] Machine= M02, Status=RUNNING, Temp= 39, Pressure= 63-> Temperature Alarm
[2026-05-19 23:03:04] Machine= M02, Status=RUNNING, Temp= 21, Pressure= 61-> Ok
[2026-05-19 23:03:04] Machine= M05, Status=RUNNING, Temp= 49, Pressure= 73-> CRITICAL Temperature Alarm
[2026-05-19 23:03:04] Machine= M03, Status=RUNNING, Temp= 43, Pressure= 67-> CRITICAL Temperature Alarm
[2026-05-19 23:03:04] Machine= M03, Status=RUNNING, Temp= 25, Pressure= 88-> Ok
[2026-05-19 23:03:04] Machine= M02, Status=RUNNING, Temp= 43, Pressure= 41-> CRITICAL Temperature Alarm
[2026-05-19 23:03:04] Machine= M06, Status=STOPPED, Temp= 37, Pressure= 54-> Machine Stopped
[2026-05-19 23:03:04] Machine= M01, Status=STOPPED, Temp= 37, Pressure= 61-> Machine Stopped
[2026-05-19 23:03:04] Machine= M02, Status=STOPPED, Temp= 23, Pressure= 47-> Machine Stopped
[2026-05-19 23:03:04] Machine= M03, Status=STOPPED, Temp= 44, Pressure= 64-> Machine Stopped
[2026-05-20 20:39:41] Machine= M04, Status=RUNNING, Temp= 35, Pressure= 65-> Temperature Alarm
[2026-05-20 20:39:41] Machine= M04, Status=RUNNING, Temp= 23, Pressure= 66-> Ok
[2026-05-20 20:39:41] Machine= M04, Status=STOPPED, Temp= 26, Pressure= 64-> Machine Stopped
[2026-05-20 20:39:41] Machine= M06, Status=RUNNING, Temp= 26, Pressure= 43-> Low Pressure
[2026-05-20 20:39:41] Machine= M04, Status=RUNNING, Temp= 25, Pressure= 50-> Ok
[2026-05-20 20:39:41] Machine= M03, Status=STOPPED, Temp= 25, Pressure= 74-> Machine Stopped
[2026-05-20 20:39:41] Machine= M04, Status=RUNNING, Temp= 25, Pressure= 53-> Ok
[2026-05-20 20:39:41] Machine= M04, Status=RUNNING, Temp= 24, Pressure= 41-> Low Pressure
[2026-05-20 20:39:41] Machine= M06, Status=STOPPED, Temp= 31, Pressure= 72-> Machine Stopped
[2026-05-20 20:39:41] Machine= M01, Status=STOPPED, Temp= 36, Pressure= 62-> Machine Stopped
[2026-05-20 20:39:41] Machine= M04, Status=STOPPED, Temp= 28, Pressure= 44-> Machine Stopped
[2026-05-20 20:39:41] Machine= M06, Status=STOPPED, Temp= 21, Pressure= 51-> Machine Stopped
[2026-05-20 20:39:41] Machine= M02, Status=STOPPED, Temp= 23, Pressure= 59-> Machine Stopped
[2026-05-20 20:39:41] Machine= M01, Status=STOPPED, Temp= 40, Pressure= 59-> Machine Stopped
[2026-05-20 20:39:41] Machine= M01, Status=STOPPED, Temp= 45, Pressure= 64-> Machine Stopped
[2026-05-20 20:39:41] Machine= M01, Status=STOPPED, Temp= 36, Pressure= 67-> Machine Stopped
[2026-05-20 20:39:41] Machine= M01, Status=STOPPED, Temp= 32, Pressure= 87-> Machine Stopped
[2026-05-20 20:39:41] Machine= M04, Status=RUNNING, Temp= 50, Pressure= 52-> CRITICAL Temperature Alarm
[2026-05-20 20:39:41] Machine= M06, Status=RUNNING, Temp= 28, Pressure= 71-> Ok
[2026-05-20 20:39:41] Machine= M05, Status=RUNNING, Temp= 43, Pressure= 75-> CRITICAL Temperature Alarm
[2026-05-20 20:40:14] Machine= M04, Status=RUNNING, Temp= 47, Pressure= 82-> CRITICAL Temperature Alarm
[2026-05-20 20:40:14] Machine= M05, Status=STOPPED, Temp= 44, Pressure= 69-> Machine Stopped
[2026-05-20 20:40:14] Machine= M04, Status=STOPPED, Temp= 38, Pressure= 51-> Machine Stopped
[2026-05-20 20:40:14] Machine= M04, Status=STOPPED, Temp= 37, Pressure= 58-> Machine Stopped
[2026-05-20 20:40:14] Machine= M02, Status=STOPPED, Temp= 37, Pressure= 58-> Machine Stopped
[2026-05-20 20:40:14] Machine= M02, Status=RUNNING, Temp= 23, Pressure= 68-> Ok
[2026-05-20 20:40:14] Machine= M03, Status=RUNNING, Temp= 32, Pressure= 49-> Temperature Alarm
[2026-05-20 20:40:14] Machine= M05, Status=RUNNING, Temp= 34, Pressure= 78-> Temperature Alarm
[2026-05-20 20:40:14] Machine= M05, Status=RUNNING, Temp= 22, Pressure= 69-> Ok
[2026-05-20 20:40:14] Machine= M02, Status=RUNNING, Temp= 28, Pressure= 70-> Ok
[2026-05-20 20:40:14] Machine= M03, Status=RUNNING, Temp= 20, Pressure= 82-> Ok
[2026-05-20 20:40:14] Machine= M04, Status=RUNNING, Temp= 39, Pressure= 46-> Temperature Alarm
[2026-05-20 20:40:14] Machine= M03, Status=RUNNING, Temp= 38, Pressure= 63-> Temperature Alarm
[2026-05-20 20:40:14] Machine= M04, Status=RUNNING, Temp= 45, Pressure= 45-> CRITICAL Temperature Alarm
[2026-05-20 20:40:14] Machine= M06, Status=STOPPED, Temp= 44, Pressure= 40-> Machine Stopped
[2026-05-20 20:40:14] Machine= M02, Status=RUNNING, Temp= 24, Pressure= 71-> Ok
[2026-05-20 20:40:14] Machine= M06, Status=STOPPED, Temp= 21, Pressure= 72-> Machine Stopped
[2026-05-20 20:40:14] Machine= M04, Status=RUNNING, Temp= 24, Pressure= 75-> Ok
[2026-05-20 20:40:14] Machine= M06, Status=STOPPED, Temp= 35, Pressure= 47-> Machine Stopped
[2026-05-20 20:40:14] Machine= M06, Status=STOPPED, Temp= 27, Pressure= 68-> Machine Stopped
[2026-05-20 20:40:57] Machine= M02, Status=STOPPED, Temp= 21, Pressure= 51-> Machine Stopped
[2026-05-20 20:40:57] Machine= M06, Status=STOPPED, Temp= 46, Pressure= 48-> Machine Stopped
[2026-05-20 20:40:57] Machine= M06, Status=RUNNING, Temp= 41, Pressure= 50-> CRITICAL Temperature Alarm
[2026-05-20 20:40:57] Machine= M04, Status=STOPPED, Temp= 22, Pressure= 49-> Machine Stopped
[2026-05-20 20:40:57] Machine= M04, Status=STOPPED, Temp= 33, Pressure= 80-> Machine Stopped
[2026-05-20 20:40:57] Machine= M04, Status=STOPPED, Temp= 46, Pressure= 69-> Machine Stopped
[2026-05-20 20:40:57] Machine= M06, Status=STOPPED, Temp= 50, Pressure= 76-> Machine Stopped
[2026-05-20 20:40:57] Machine= M06, Status=STOPPED, Temp= 22, Pressure= 75-> Machine Stopped
[2026-05-20 20:40:57] Machine= M05, Status=STOPPED, Temp= 44, Pressure= 61-> Machine Stopped
[2026-05-20 20:40:57] Machine= M02, Status=RUNNING, Temp= 26, Pressure= 90-> Ok
[2026-05-20 20:40:57] Machine= M01, Status=STOPPED, Temp= 43, Pressure= 58-> Machine Stopped
[2026-05-20 20:40:57] Machine= M03, Status=RUNNING, Temp= 35, Pressure= 45-> Temperature Alarm
[2026-05-20 20:40:57] Machine= M05, Status=STOPPED, Temp= 28, Pressure= 65-> Machine Stopped
[2026-05-20 20:40:57] Machine= M02, Status=RUNNING, Temp= 42, Pressure= 52-> CRITICAL Temperature Alarm
[2026-05-20 20:40:57] Machine= M04, Status=STOPPED, Temp= 39, Pressure= 42-> Machine Stopped
[2026-05-20 20:40:57] Machine= M05, Status=RUNNING, Temp= 32, Pressure= 66-> Temperature Alarm
[2026-05-20 20:40:57] Machine= M05, Status=STOPPED, Temp= 42, Pressure= 57-> Machine Stopped
[2026-05-20 20:40:57] Machine= M04, Status=RUNNING, Temp= 30, Pressure= 76-> Ok
[2026-05-20 20:40:57] Machine= M02, Status=STOPPED, Temp= 29, Pressure= 76-> Machine Stopped
[2026-05-20 20:40:57] Machine= M01, Status=RUNNING, Temp= 21, Pressure= 79-> Ok
[2026-05-20 20:53:50] Machine= M03, Status=RUNNING, Temp= 36, Pressure= 85-> Temperature Alarm
[2026-05-20 20:53:50] Machine= M05, Status=RUNNING, Temp= 50, Pressure= 76-> CRITICAL Temperature Alarm
[2026-05-20 20:53:50] Machine= M05, Status=STOPPED, Temp= 36, Pressure= 52-> Machine Stopped
[2026-05-20 20:53:50] Machine= M01, Status=RUNNING, Temp= 48, Pressure= 87-> CRITICAL Temperature Alarm
[2026-05-20 20:53:50] Machine= M02, Status=RUNNING, Temp= 24, Pressure= 58-> Ok
[2026-05-20 20:53:50] Machine= M01, Status=RUNNING, Temp= 50, Pressure= 59-> CRITICAL Temperature Alarm
[2026-05-20 20:53:50] Machine= M01, Status=RUNNING, Temp= 23, Pressure= 43-> Low Pressure
[2026-05-20 20:53:50] Machine= M02, Status=RUNNING, Temp= 30, Pressure= 86-> Ok
[2026-05-20 20:53:50] Machine= M05, Status=STOPPED, Temp= 35, Pressure= 85-> Machine Stopped
[2026-05-20 20:53:50] Machine= M05, Status=STOPPED, Temp= 45, Pressure= 71-> Machine Stopped
[2026-05-20 20:53:50] Machine= M02, Status=STOPPED, Temp= 49, Pressure= 66-> Machine Stopped
[2026-05-20 20:53:50] Machine= M04, Status=STOPPED, Temp= 33, Pressure= 84-> Machine Stopped
[2026-05-20 20:53:50] Machine= M02, Status=STOPPED, Temp= 27, Pressure= 79-> Machine Stopped
[2026-05-20 20:53:50] Machine= M01, Status=STOPPED, Temp= 25, Pressure= 60-> Machine Stopped
[2026-05-20 20:53:50] Machine= M04, Status=RUNNING, Temp= 20, Pressure= 72-> Ok
[2026-05-20 20:53:50] Machine= M02, Status=STOPPED, Temp= 48, Pressure= 46-> Machine Stopped
[2026-05-20 20:53:50] Machine= M01, Status=STOPPED, Temp= 32, Pressure= 46-> Machine Stopped
[2026-05-20 20:53:50] Machine= M03, Status=STOPPED, Temp= 20, Pressure= 75-> Machine Stopped
[2026-05-20 20:53:50] Machine= M02, Status=RUNNING, Temp= 49, Pressure= 53-> CRITICAL Temperature Alarm
[2026-05-20 20:53:50] Machine= M02, Status=RUNNING, Temp= 31, Pressure= 59-> Temperature Alarm
[2026-05-20 21:22:38] Machine= M03, Status=STOPPED, Temp= 29, Pressure= 58-> Machine Stopped
[2026-05-20 21:22:38] Machine= M05, Status=RUNNING, Temp= 36, Pressure= 73-> Temperature Alarm
[2026-05-20 21:22:38] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 53-> CRITICAL Temperature Alarm
[2026-05-20 21:22:38] Machine= M02, Status=STOPPED, Temp= 24, Pressure= 85-> Machine Stopped
[2026-05-20 21:22:38] Machine= M06, Status=RUNNING, Temp= 33, Pressure= 40-> Temperature Alarm
[2026-05-20 21:22:38] Machine= M05, Status=STOPPED, Temp= 20, Pressure= 68-> Machine Stopped
[2026-05-20 21:22:38] Machine= M03, Status=RUNNING, Temp= 44, Pressure= 77-> CRITICAL Temperature Alarm
[2026-05-20 21:22:38] Machine= M05, Status=STOPPED, Temp= 50, Pressure= 63-> Machine Stopped
[2026-05-20 21:22:38] Machine= M03, Status=STOPPED, Temp= 25, Pressure= 84-> Machine Stopped
[2026-05-20 21:22:38] Machine= M03, Status=STOPPED, Temp= 25, Pressure= 83-> Machine Stopped
[2026-05-20 21:22:38] Machine= M01, Status=STOPPED, Temp= 37, Pressure= 89-> Machine Stopped
[2026-05-20 21:22:38] Machine= M01, Status=RUNNING, Temp= 25, Pressure= 49-> Low Pressure
[2026-05-20 21:22:38] Machine= M05, Status=STOPPED, Temp= 41, Pressure= 72-> Machine Stopped
[2026-05-20 21:22:38] Machine= M02, Status=STOPPED, Temp= 20, Pressure= 55-> Machine Stopped
[2026-05-20 21:22:38] Machine= M02, Status=RUNNING, Temp= 31, Pressure= 72-> Temperature Alarm
[2026-05-20 21:22:38] Machine= M04, Status=RUNNING, Temp= 27, Pressure= 64-> Ok
[2026-05-20 21:22:38] Machine= M01, Status=RUNNING, Temp= 27, Pressure= 46-> Low Pressure
[2026-05-20 21:22:38] Machine= M06, Status=STOPPED, Temp= 26, Pressure= 41-> Machine Stopped
[2026-05-20 21:22:38] Machine= M05, Status=RUNNING, Temp= 21, Pressure= 65-> Ok
[2026-05-20 21:22:38] Machine= M02, Status=STOPPED, Temp= 24, Pressure= 52-> Machine Stopped
[2026-05-20 21:29:18] Machine= M04, Status=RUNNING, Temp= 34, Pressure= 71-> Temperature Alarm
[2026-05-20 21:29:18] Machine= M01, Status=RUNNING, Temp= 49, Pressure= 62-> CRITICAL Temperature Alarm
[2026-05-20 21:29:18] Machine= M03, Status=RUNNING, Temp= 28, Pressure= 82-> Ok
[2026-05-20 21:29:18] Machine= M06, Status=STOPPED, Temp= 47, Pressure= 61-> Machine Stopped
[2026-05-20 21:29:18] Machine= M03, Status=RUNNING, Temp= 30, Pressure= 74-> Ok
[2026-05-20 21:29:18] Machine= M06, Status=STOPPED, Temp= 32, Pressure= 86-> Machine Stopped
[2026-05-20 21:29:18] Machine= M03, Status=RUNNING, Temp= 47, Pressure= 88-> CRITICAL Temperature Alarm
[2026-05-20 21:29:18] Machine= M02, Status=RUNNING, Temp= 33, Pressure= 44-> Temperature Alarm
[2026-05-20 21:29:18] Machine= M01, Status=RUNNING, Temp= 47, Pressure= 56-> CRITICAL Temperature Alarm
[2026-05-20 21:29:18] Machine= M06, Status=STOPPED, Temp= 35, Pressure= 71-> Machine Stopped
[2026-05-20 21:29:18] Machine= M06, Status=RUNNING, Temp= 46, Pressure= 90-> CRITICAL Temperature Alarm
[2026-05-20 21:29:18] Machine= M05, Status=RUNNING, Temp= 47, Pressure= 48-> CRITICAL Temperature Alarm
[2026-05-20 21:29:18] Machine= M03, Status=STOPPED, Temp= 39, Pressure= 86-> Machine Stopped
[2026-05-20 21:29:18] Machine= M05, Status=STOPPED, Temp= 31, Pressure= 49-> Machine Stopped
[2026-05-20 21:29:18] Machine= M06, Status=RUNNING, Temp= 35, Pressure= 62-> Temperature Alarm
[2026-05-20 21:29:18] Machine= M06, Status=RUNNING, Temp= 42, Pressure= 84-> CRITICAL Temperature Alarm
[2026-05-20 21:29:18] Machine= M02, Status=RUNNING, Temp= 34, Pressure= 58-> Temperature Alarm
[2026-05-20 21:29:18] Machine= M04, Status=RUNNING, Temp= 33, Pressure= 79-> Temperature Alarm
[2026-05-20 21:29:18] Machine= M06, Status=STOPPED, Temp= 34, Pressure= 42-> Machine Stopped
[2026-05-20 21:29:18] Machine= M02, Status=RUNNING, Temp= 38, Pressure= 40-> Temperature Alarm
[2026-05-21 20:50:01] Machine= M01, Status=STOPPED, Temp= 50, Pressure= 80-> Machine Stopped
[2026-05-21 20:50:01] Machine= M06, Status=STOPPED, Temp= 40, Pressure= 49-> Machine Stopped
[2026-05-21 20:50:01] Machine= M05, Status=RUNNING, Temp= 22, Pressure= 81-> Ok
[2026-05-21 20:50:01] Machine= M05, Status=RUNNING, Temp= 44, Pressure= 84-> CRITICAL Temperature Alarm
[2026-05-21 20:50:01] Machine= M01, Status=STOPPED, Temp= 44, Pressure= 60-> Machine Stopped
[2026-05-21 20:50:01] Machine= M06, Status=RUNNING, Temp= 42, Pressure= 43-> CRITICAL Temperature Alarm
[2026-05-21 20:50:01] Machine= M04, Status=RUNNING, Temp= 42, Pressure= 88-> CRITICAL Temperature Alarm
[2026-05-21 20:50:01] Machine= M04, Status=RUNNING, Temp= 34, Pressure= 87-> Temperature Alarm
[2026-05-21 20:50:01] Machine= M01, Status=RUNNING, Temp= 50, Pressure= 85-> CRITICAL Temperature Alarm
[2026-05-21 20:50:01] Machine= M03, Status=RUNNING, Temp= 45, Pressure= 75-> CRITICAL Temperature Alarm
[2026-05-21 20:50:01] Machine= M03, Status=STOPPED, Temp= 49, Pressure= 70-> Machine Stopped
[2026-05-21 20:50:01] Machine= M04, Status=STOPPED, Temp= 46, Pressure= 81-> Machine Stopped
[2026-05-21 20:50:01] Machine= M06, Status=RUNNING, Temp= 30, Pressure= 62-> Ok
[2026-05-21 20:50:01] Machine= M06, Status=STOPPED, Temp= 31, Pressure= 43-> Machine Stopped
[2026-05-21 20:50:01] Machine= M03, Status=STOPPED, Temp= 27, Pressure= 52-> Machine Stopped
[2026-05-21 20:50:01] Machine= M03, Status=STOPPED, Temp= 26, Pressure= 72-> Machine Stopped
[2026-05-21 20:50:01] Machine= M03, Status=STOPPED, Temp= 33, Pressure= 63-> Machine Stopped
[2026-05-21 20:50:01] Machine= M01, Status=RUNNING, Temp= 20, Pressure= 46-> Low Pressure
[2026-05-21 20:50:01] Machine= M02, Status=RUNNING, Temp= 50, Pressure= 46-> CRITICAL Temperature Alarm
[2026-05-21 20:50:01] Machine= M04, Status=STOPPED, Temp= 25, Pressure= 51-> Machine Stopped
[2026-05-21 21:15:45] Machine= M03, Status=RUNNING, Temp= 33, Pressure= 52-> Temperature Alarm
[2026-05-21 21:15:45] Machine= M06, Status=STOPPED, Temp= 28, Pressure= 49-> Machine Stopped
[2026-05-21 21:15:45] Machine= M03, Status=RUNNING, Temp= 33, Pressure= 67-> Temperature Alarm
[2026-05-21 21:15:45] Machine= M06, Status=RUNNING, Temp= 21, Pressure= 69-> Ok
[2026-05-21 21:15:45] Machine= M01, Status=STOPPED, Temp= 30, Pressure= 44-> Machine Stopped
[2026-05-21 21:15:45] Machine= M06, Status=RUNNING, Temp= 44, Pressure= 52-> CRITICAL Temperature Alarm
[2026-05-21 21:15:45] Machine= M05, Status=STOPPED, Temp= 50, Pressure= 59-> Machine Stopped
[2026-05-21 21:15:45] Machine= M03, Status=RUNNING, Temp= 22, Pressure= 85-> Ok
[2026-05-21 21:15:45] Machine= M04, Status=RUNNING, Temp= 31, Pressure= 85-> Temperature Alarm
[2026-05-21 21:15:45] Machine= M02, Status=STOPPED, Temp= 37, Pressure= 74-> Machine Stopped
[2026-05-21 21:15:45] Machine= M02, Status=RUNNING, Temp= 20, Pressure= 58-> Ok
[2026-05-21 21:15:45] Machine= M05, Status=RUNNING, Temp= 22, Pressure= 51-> Ok
[2026-05-21 21:15:45] Machine= M02, Status=STOPPED, Temp= 37, Pressure= 83-> Machine Stopped
[2026-05-21 21:15:45] Machine= M04, Status=RUNNING, Temp= 23, Pressure= 66-> Ok
[2026-05-21 21:15:45] Machine= M03, Status=RUNNING, Temp= 45, Pressure= 73-> CRITICAL Temperature Alarm
[2026-05-21 21:15:45] Machine= M06, Status=STOPPED, Temp= 44, Pressure= 77-> Machine Stopped
[2026-05-21 21:15:45] Machine= M05, Status=STOPPED, Temp= 49, Pressure= 47-> Machine Stopped
[2026-05-21 21:15:45] Machine= M06, Status=STOPPED, Temp= 25, Pressure= 85-> Machine Stopped
[2026-05-21 21:15:45] Machine= M06, Status=RUNNING, Temp= 29, Pressure= 46-> Low Pressure
[2026-05-21 21:15:45] Machine= M03, Status=STOPPED, Temp= 25, Pressure= 69-> Machine Stopped
[2026-05-21 21:17:55] Machine= M04, Status=STOPPED, Temp= 31, Pressure= 46-> Machine Stopped
[2026-05-21 21:17:55] Machine= M02, Status=RUNNING, Temp= 33, Pressure= 66-> Temperature Alarm
[2026-05-21 21:17:55] Machine= M01, Status=RUNNING, Temp= 50, Pressure= 61-> CRITICAL Temperature Alarm
[2026-05-21 21:17:55] Machine= M02, Status=STOPPED, Temp= 42, Pressure= 65-> Machine Stopped
[2026-05-21 21:17:55] Machine= M04, Status=RUNNING, Temp= 49, Pressure= 79-> CRITICAL Temperature Alarm
[2026-05-21 21:17:55] Machine= M01, Status=RUNNING, Temp= 21, Pressure= 45-> Low Pressure
[2026-05-21 21:17:55] Machine= M01, Status=STOPPED, Temp= 39, Pressure= 84-> Machine Stopped
[2026-05-21 21:17:55] Machine= M01, Status=RUNNING, Temp= 41, Pressure= 75-> CRITICAL Temperature Alarm
[2026-05-21 21:17:55] Machine= M03, Status=STOPPED, Temp= 42, Pressure= 87-> Machine Stopped
[2026-05-21 21:17:55] Machine= M05, Status=RUNNING, Temp= 45, Pressure= 82-> CRITICAL Temperature Alarm
[2026-05-21 21:17:55] Machine= M04, Status=RUNNING, Temp= 37, Pressure= 84-> Temperature Alarm
[2026-05-21 21:17:55] Machine= M06, Status=RUNNING, Temp= 40, Pressure= 68-> CRITICAL Temperature Alarm
[2026-05-21 21:17:55] Machine= M02, Status=RUNNING, Temp= 38, Pressure= 84-> Temperature Alarm
[2026-05-21 21:17:55] Machine= M01, Status=STOPPED, Temp= 29, Pressure= 43-> Machine Stopped
[2026-05-21 21:17:55] Machine= M06, Status=STOPPED, Temp= 31, Pressure= 69-> Machine Stopped
[2026-05-21 21:17:55] Machine= M01, Status=STOPPED, Temp= 41, Pressure= 40-> Machine Stopped
[2026-05-21 21:17:55] Machine= M05, Status=RUNNING, Temp= 41, Pressure= 55-> CRITICAL Temperature Alarm
[2026-05-21 21:17:55] Machine= M06, Status=STOPPED, Temp= 36, Pressure= 46-> Machine Stopped
[2026-05-21 21:17:55] Machine= M02, Status=RUNNING, Temp= 43, Pressure= 86-> CRITICAL Temperature Alarm
[2026-05-21 21:17:55] Machine= M06, Status=RUNNING, Temp= 41, Pressure= 65-> CRITICAL Temperature Alarm
[2026-05-21 21:24:07] Machine= M04, Status=STOPPED, Temp= 43, Pressure= 51-> Machine Stopped
[2026-05-21 21:24:07] Machine= M03, Status=STOPPED, Temp= 50, Pressure= 79-> Machine Stopped
[2026-05-21 21:24:07] Machine= M03, Status=STOPPED, Temp= 39, Pressure= 60-> Machine Stopped
[2026-05-21 21:24:07] Machine= M04, Status=RUNNING, Temp= 25, Pressure= 53-> Ok
[2026-05-21 21:24:07] Machine= M02, Status=STOPPED, Temp= 43, Pressure= 40-> Machine Stopped
[2026-05-21 21:24:07] Machine= M02, Status=STOPPED, Temp= 21, Pressure= 71-> Machine Stopped
[2026-05-21 21:24:07] Machine= M01, Status=RUNNING, Temp= 32, Pressure= 44-> Temperature Alarm
[2026-05-21 21:24:07] Machine= M02, Status=RUNNING, Temp= 38, Pressure= 64-> Temperature Alarm
[2026-05-21 21:24:07] Machine= M03, Status=RUNNING, Temp= 25, Pressure= 53-> Ok
[2026-05-21 21:24:07] Machine= M02, Status=STOPPED, Temp= 46, Pressure= 65-> Machine Stopped
[2026-05-21 21:24:07] Machine= M04, Status=STOPPED, Temp= 47, Pressure= 64-> Machine Stopped
[2026-05-21 21:24:07] Machine= M01, Status=STOPPED, Temp= 44, Pressure= 75-> Machine Stopped
[2026-05-21 21:24:07] Machine= M02, Status=STOPPED, Temp= 23, Pressure= 49-> Machine Stopped
[2026-05-21 21:24:07] Machine= M03, Status=STOPPED, Temp= 30, Pressure= 83-> Machine Stopped
[2026-05-21 21:24:07] Machine= M03, Status=RUNNING, Temp= 39, Pressure= 54-> Temperature Alarm
[2026-05-21 21:24:07] Machine= M01, Status=RUNNING, Temp= 32, Pressure= 57-> Temperature Alarm
[2026-05-21 21:24:07] Machine= M06, Status=RUNNING, Temp= 49, Pressure= 79-> CRITICAL Temperature Alarm
[2026-05-21 21:24:07] Machine= M04, Status=STOPPED, Temp= 27, Pressure= 83-> Machine Stopped
[2026-05-21 21:24:07] Machine= M03, Status=RUNNING, Temp= 49, Pressure= 66-> CRITICAL Temperature Alarm
[2026-05-21 21:24:07] Machine= M01, Status=STOPPED, Temp= 35, Pressure= 53-> Machine Stopped
[2026-05-21 21:30:43] Machine= M05, Status=STOPPED, Temp= 35, Pressure= 63-> Machine Stopped
[2026-05-21 21:30:43] Machine= M04, Status=RUNNING, Temp= 20, Pressure= 49-> Low Pressure
[2026-05-21 21:30:43] Machine= M02, Status=RUNNING, Temp= 43, Pressure= 54-> CRITICAL Temperature Alarm
[2026-05-21 21:30:43] Machine= M06, Status=RUNNING, Temp= 20, Pressure= 62-> Ok
[2026-05-21 21:30:43] Machine= M02, Status=RUNNING, Temp= 28, Pressure= 81-> Ok
[2026-05-21 21:30:43] Machine= M02, Status=STOPPED, Temp= 35, Pressure= 61-> Machine Stopped
[2026-05-21 21:30:43] Machine= M01, Status=RUNNING, Temp= 39, Pressure= 52-> Temperature Alarm
[2026-05-21 21:30:43] Machine= M02, Status=STOPPED, Temp= 43, Pressure= 79-> Machine Stopped
[2026-05-21 21:30:43] Machine= M05, Status=RUNNING, Temp= 42, Pressure= 51-> CRITICAL Temperature Alarm
[2026-05-21 21:30:43] Machine= M03, Status=STOPPED, Temp= 30, Pressure= 45-> Machine Stopped
[2026-05-21 21:30:43] Machine= M06, Status=STOPPED, Temp= 23, Pressure= 68-> Machine Stopped
[2026-05-21 21:30:43] Machine= M03, Status=STOPPED, Temp= 23, Pressure= 50-> Machine Stopped
[2026-05-21 21:30:43] Machine= M01, Status=RUNNING, Temp= 29, Pressure= 80-> Ok
[2026-05-21 21:30:43] Machine= M05, Status=STOPPED, Temp= 26, Pressure= 65-> Machine Stopped
[2026-05-21 21:30:43] Machine= M02, Status=STOPPED, Temp= 47, Pressure= 59-> Machine Stopped
[2026-05-21 21:30:43] Machine= M05, Status=RUNNING, Temp= 33, Pressure= 69-> Temperature Alarm
[2026-05-21 21:30:43] Machine= M03, Status=STOPPED, Temp= 21, Pressure= 88-> Machine Stopped
[2026-05-21 21:30:43] Machine= M01, Status=RUNNING, Temp= 20, Pressure= 52-> Ok
[2026-05-21 21:30:43] Machine= M03, Status=RUNNING, Temp= 26, Pressure= 69-> Ok
[2026-05-21 21:30:43] Machine= M01, Status=RUNNING, Temp= 40, Pressure= 79-> CRITICAL Temperature Alarm
[2026-05-21 21:31:27] Machine= M01, Status=RUNNING, Temp= 34, Pressure= 71-> Temperature Alarm
[2026-05-21 21:31:27] Machine= M06, Status=RUNNING, Temp= 41, Pressure= 43-> CRITICAL Temperature Alarm
[2026-05-21 21:31:27] Machine= M05, Status=STOPPED, Temp= 32, Pressure= 45-> Machine Stopped
[2026-05-21 21:31:27] Machine= M03, Status=STOPPED, Temp= 49, Pressure= 59-> Machine Stopped
[2026-05-21 21:31:27] Machine= M03, Status=RUNNING, Temp= 40, Pressure= 60-> CRITICAL Temperature Alarm
[2026-05-21 21:31:27] Machine= M03, Status=STOPPED, Temp= 45, Pressure= 80-> Machine Stopped
[2026-05-21 21:31:27] Machine= M02, Status=STOPPED, Temp= 38, Pressure= 89-> Machine Stopped
[2026-05-21 21:31:27] Machine= M02, Status=RUNNING, Temp= 35, Pressure= 83-> Temperature Alarm
[2026-05-21 21:31:27] Machine= M04, Status=STOPPED, Temp= 33, Pressure= 57-> Machine Stopped
[2026-05-21 21:31:27] Machine= M04, Status=STOPPED, Temp= 41, Pressure= 46-> Machine Stopped
[2026-05-21 21:31:27] Machine= M04, Status=STOPPED, Temp= 23, Pressure= 60-> Machine Stopped
