[08:10] Machine= M03, Status=RUNNING, Temp= 42, Pressure= 45-> CRITICAL Temperature Alarm
[2026-06-05 20:08:50] Machine= M03, Status=RUNNING, Temp= 48, Pressure= 51-> CRITICAL Temperature Alarm
[2026-06-05 20:08:50] Machine= M01, Status=RUNNING, Temp= 50, Pressure= 80-> CRITICAL Temperature Alarm
[2026-06-05 20:08:50] Machine= M02, Status=RUNNING, Temp= 49, Pressure= 49-> CRITICAL Temperature Alarm
[2026-06-05 20:09:16] Machine= M05, Status=RUNNING, Temp= 40, Pressure= 61-> CRITICAL Temperature Alarm
[2026-06-05 20:09:16] Machine= M05, Status=RUNNING, Temp= 48, Pressure= 51-> CRITICAL Temperature Alarm
[2026-06-05 20:09:16] Machine= M03, Status=RUNNING, Temp= 41, Pressure= 54-> CRITICAL Temperature Alarm
[2026-06-05 20:09:16] Machine= M01, Status=RUNNING, Temp= 45, Pressure= 56-> CRITICAL Temperature Alarm
[2026-06-05 20:12:50] Machine= M02, Status=RUNNING, Temp= 40, Pressure= 59-> CRITICAL Temperature Alarm
[2026-06-05 20:12:50] Machine= M03, Status=RUNNING, Temp= 44, Pressure= 71-> CRITICAL Temperature Alarm
[2026-06-05 20:12:50] Machine= M01, Status=RUNNING, Temp= 42, Pressure= 57-> CRITICAL Temperature Alarm
[2026-06-05 20:12:50] Machine= M03, Status=RUNNING, Temp= 43, Pressure= 88-> CRITICAL Temperature Alarm
[2026-06-05 20:14:28] Machine= M01, Status=RUNNING, Temp= 46, Pressure= 69-> CRITICAL Temperature Alarm
[2026-06-05 20:14:28] Machine= M04, Status=RUNNING, Temp= 49, Pressure= 87-> CRITICAL Temperature Alarm
[2026-06-05 20:14:28] Machine= M02, Status=RUNNING, Temp= 42, Pressure= 85-> CRITICAL Temperature Alarm
[2026-06-05 20:15:16] Machine= M02, Status=RUNNING, Temp= 50, Pressure= 46-> CRITICAL Temperature Alarm
[2026-06-05 20:15:16] Machine= M06, Status=RUNNING, Temp= 46, Pressure= 71-> CRITICAL Temperature Alarm
[2026-06-05 20:15:16] Machine= M01, Status=RUNNING, Temp= 50, Pressure= 82-> CRITICAL Temperature Alarm
[2026-06-05 20:15:16] Machine= M04, Status=RUNNING, Temp= 41, Pressure= 71-> CRITICAL Temperature Alarm
[2026-06-05 20:20:42] Machine= M06, Status=RUNNING, Temp= 45, Pressure= 82-> CRITICAL Temperature Alarm
[2026-06-05 20:20:42] Machine= M05, Status=RUNNING, Temp= 42, Pressure= 46-> CRITICAL Temperature Alarm
[2026-06-05 20:20:42] Machine= M03, Status=RUNNING, Temp= 48, Pressure= 71-> CRITICAL Temperature Alarm
[2026-06-05 20:20:42] Machine= M04, Status=RUNNING, Temp= 47, Pressure= 73-> CRITICAL Temperature Alarm
[2026-06-05 20:23:25] Machine= M06, Status=RUNNING, Temp= 43, Pressure= 83-> CRITICAL Temperature Alarm
[2026-06-05 20:29:05] Machine= M01, Status=RUNNING, Temp= 50, Pressure= 81-> CRITICAL Temperature Alarm
[2026-06-05 20:29:05] Machine= M05, Status=RUNNING, Temp= 49, Pressure= 81-> CRITICAL Temperature Alarm
[2026-06-05 20:29:05] Machine= M01, Status=RUNNING, Temp= 41, Pressure= 41-> CRITICAL Temperature Alarm
[2026-06-05 20:29:05] Machine= M02, Status=RUNNING, Temp= 50, Pressure= 76-> CRITICAL Temperature Alarm
[2026-06-05 20:29:05] Machine= M01, Status=RUNNING, Temp= 41, Pressure= 88-> CRITICAL Temperature Alarm
[2026-06-05 20:29:05] Machine= M03, Status=RUNNING, Temp= 40, Pressure= 78-> CRITICAL Temperature Alarm
[2026-06-05 20:31:04] Machine= M03, Status=RUNNING, Temp= 50, Pressure= 47-> CRITICAL Temperature Alarm
[2026-06-05 20:31:04] Machine= M01, Status=RUNNING, Temp= 43, Pressure= 69-> CRITICAL Temperature Alarm
[2026-06-05 20:31:04] Machine= M05, Status=RUNNING, Temp= 45, Pressure= 61-> CRITICAL Temperature Alarm
[2026-06-05 20:31:04] Machine= M06, Status=RUNNING, Temp= 40, Pressure= 81-> CRITICAL Temperature Alarm
[2026-06-05 20:42:21] Machine= M04, Status=RUNNING, Temp= 49, Pressure= 74-> CRITICAL Temperature Alarm
[2026-06-05 20:42:21] Machine= M05, Status=RUNNING, Temp= 43, Pressure= 56-> CRITICAL Temperature Alarm
[2026-06-05 20:42:21] Machine= M05, Status=RUNNING, Temp= 46, Pressure= 50-> CRITICAL Temperature Alarm
[2026-06-05 20:42:21] Machine= M05, Status=RUNNING, Temp= 43, Pressure= 41-> CRITICAL Temperature Alarm
[2026-06-05 20:42:45] Machine= M05, Status=RUNNING, Temp= 40, Pressure= 66-> CRITICAL Temperature Alarm
[2026-06-05 20:42:45] Machine= M04, Status=RUNNING, Temp= 46, Pressure= 50-> CRITICAL Temperature Alarm
[2026-06-05 20:43:33] Machine= M01, Status=RUNNING, Temp= 49, Pressure= 58-> CRITICAL Temperature Alarm
[2026-06-05 20:43:33] Machine= M04, Status=RUNNING, Temp= 45, Pressure= 66-> CRITICAL Temperature Alarm
[2026-06-05 20:44:05] Machine= M05, Status=RUNNING, Temp= 47, Pressure= 56-> CRITICAL Temperature Alarm
[2026-06-05 20:44:05] Machine= M03, Status=RUNNING, Temp= 49, Pressure= 87-> CRITICAL Temperature Alarm
[2026-06-05 20:44:05] Machine= M04, Status=RUNNING, Temp= 47, Pressure= 86-> CRITICAL Temperature Alarm
[2026-06-05 20:45:46] Machine= M06, Status=RUNNING, Temp= 48, Pressure= 57-> CRITICAL Temperature Alarm
[2026-06-05 20:45:46] Machine= M02, Status=RUNNING, Temp= 41, Pressure= 83-> CRITICAL Temperature Alarm
[2026-06-05 20:45:46] Machine= M06, Status=RUNNING, Temp= 48, Pressure= 79-> CRITICAL Temperature Alarm
[2026-06-05 20:48:16] Machine= M05, Status=RUNNING, Temp= 42, Pressure= 77-> CRITICAL Temperature Alarm
[2026-06-05 20:53:12] Machine= M05, Status=RUNNING, Temp= 50, Pressure= 49-> CRITICAL Temperature Alarm
[2026-06-05 20:53:12] Machine= M04, Status=RUNNING, Temp= 50, Pressure= 81-> CRITICAL Temperature Alarm
[2026-06-05 20:53:12] Machine= M03, Status=RUNNING, Temp= 45, Pressure= 55-> CRITICAL Temperature Alarm
[2026-06-05 20:53:12] Machine= M03, Status=RUNNING, Temp= 47, Pressure= 88-> CRITICAL Temperature Alarm
[2026-06-05 20:53:12] Machine= M02, Status=RUNNING, Temp= 49, Pressure= 79-> CRITICAL Temperature Alarm
[2026-06-05 20:53:44] Machine= M04, Status=RUNNING, Temp= 47, Pressure= 48-> CRITICAL Temperature Alarm
[2026-06-05 20:53:44] Machine= M01, Status=RUNNING, Temp= 49, Pressure= 79-> CRITICAL Temperature Alarm
[2026-06-05 20:53:44] Machine= M02, Status=RUNNING, Temp= 44, Pressure= 50-> CRITICAL Temperature Alarm
[2026-06-05 20:59:23] Machine= M06, Status=RUNNING, Temp= 40, Pressure= 59-> CRITICAL Temperature Alarm
[2026-06-05 20:59:23] Machine= M04, Status=RUNNING, Temp= 40, Pressure= 74-> CRITICAL Temperature Alarm
[2026-06-05 20:59:23] Machine= M02, Status=RUNNING, Temp= 50, Pressure= 76-> CRITICAL Temperature Alarm
[2026-06-05 20:59:23] Machine= M05, Status=RUNNING, Temp= 47, Pressure= 90-> CRITICAL Temperature Alarm
[2026-06-05 20:59:23] Machine= M02, Status=RUNNING, Temp= 44, Pressure= 40-> CRITICAL Temperature Alarm
[2026-06-05 21:13:32] Machine= M02, Status=RUNNING, Temp= 40, Pressure= 61-> CRITICAL Temperature Alarm
[2026-06-05 21:13:32] Machine= M02, Status=RUNNING, Temp= 47, Pressure= 78-> CRITICAL Temperature Alarm
[2026-06-05 21:13:32] Machine= M01, Status=RUNNING, Temp= 42, Pressure= 79-> CRITICAL Temperature Alarm
[2026-06-05 21:13:32] Machine= M05, Status=RUNNING, Temp= 50, Pressure= 53-> CRITICAL Temperature Alarm
[2026-06-05 21:13:32] Machine= M01, Status=RUNNING, Temp= 47, Pressure= 63-> CRITICAL Temperature Alarm
[2026-06-05 21:13:32] Machine= M05, Status=RUNNING, Temp= 42, Pressure= 47-> CRITICAL Temperature Alarm
[2026-06-05 21:18:44] Machine= M02, Status=RUNNING, Temp= 41, Pressure= 75-> CRITICAL Temperature Alarm
[2026-06-05 21:18:44] Machine= M03, Status=RUNNING, Temp= 43, Pressure= 71-> CRITICAL Temperature Alarm
[2026-06-05 21:25:46] Machine= M03, Status=RUNNING, Temp= 44, Pressure= 61-> CRITICAL Temperature Alarm
[2026-06-05 21:25:46] Machine= M02, Status=RUNNING, Temp= 50, Pressure= 64-> CRITICAL Temperature Alarm
[2026-06-05 21:25:46] Machine= M06, Status=RUNNING, Temp= 46, Pressure= 42-> CRITICAL Temperature Alarm
[2026-06-05 21:25:46] Machine= M06, Status=RUNNING, Temp= 49, Pressure= 81-> CRITICAL Temperature Alarm
[2026-06-05 21:45:01] Machine= M04, Status=RUNNING, Temp= 48, Pressure= 65-> CRITICAL Temperature Alarm
[2026-06-05 21:45:01] Machine= M01, Status=RUNNING, Temp= 47, Pressure= 53-> CRITICAL Temperature Alarm
[2026-06-05 21:45:01] Machine= M03, Status=RUNNING, Temp= 48, Pressure= 77-> CRITICAL Temperature Alarm
[2026-06-05 21:45:54] Machine= M05, Status=RUNNING, Temp= 49, Pressure= 77-> CRITICAL Temperature Alarm
[2026-06-05 21:45:54] Machine= M02, Status=RUNNING, Temp= 47, Pressure= 61-> CRITICAL Temperature Alarm
[2026-06-05 21:47:16] Machine= M04, Status=RUNNING, Temp= 46, Pressure= 68-> CRITICAL Temperature Alarm
[2026-06-05 21:47:16] Machine= M04, Status=RUNNING, Temp= 44, Pressure= 43-> CRITICAL Temperature Alarm
[2026-06-05 21:58:45] Machine= M06, Status=RUNNING, Temp= 50, Pressure= 76-> CRITICAL Temperature Alarm
[2026-06-05 21:58:45] Machine= M02, Status=RUNNING, Temp= 45, Pressure= 57-> CRITICAL Temperature Alarm
